"Orden","Columna (nombre en la hoja)","Qué es / para qué sirve (ES)","Cómo completarla (ES)","O que é / para que serve (PT-BR)","Como preencher (PT-BR)"
"0","— Contexto: objetivo de la matriz","Cada fila vincula un proceso o criterio de la IQS con evidencia en Databricks (tablas, campos, eventos), para que el equipo sepa qué se puede medir con datos y qué no. Apoyo a `RobIA_Procesos_discovery_matriz.csv`.","Leer primero esta pestaña. Luego completar la matriz de discovery en la otra hoja.","Cada linha liga um processo ou critério da IQS a evidência no Databricks (tabelas, campos, eventos), para o time saber o que dá para medir com dados e o que não dá. Apoio ao arquivo `RobIA_Procesos_discovery_matriz.csv`.","Leia antes esta aba. Depois preencha a matriz de discovery na outra planilha."
"1","Proceso (IQS)","Categoría de la guideline: por ejemplo Clasificación de la conversación, Procesos Zendesk, Issues & Problems, Knowledge Base.","Usar el mismo nombre que en la IQS para que el discovery sea trazable a la evaluación humana.","Categoria da guideline: por exemplo Clasificación de la conversación / Classificação da conversa, Processos Zendesk, Issues & Problems, Knowledge Base.","Usar o mesmo nome que na IQS para rastreio com a avaliação humana."
"2","Subcriterio / paso","Desglose del proceso: Tópico y subtópico, Naturaleza de la conversa, Duplicates, Estado de la conversación, Side conversation, reporte de issues, Uso de materiales, Feedback, etc.","Una sub-fila por cada señal que quieran mapear por separado. No mezclar dos procesos en una sola fila.","Detalhe do processo: tópico e subtópico, natureza da conversa, duplicados, estado, side conversation, issues, materiais, feedback, etc.","Uma sub-linha para cada sinal mapeado separadamente. Não misturar dois processos na mesma linha."
"3","Señal observable (qué audita)","En lenguaje de auditoría: qué miraría un revisor en Zendesk o en el ticket para decidir si se cumplió el proceso.","Frases concretas (p. ej. fusionar duplicados cuando aplica, estado coherente con jornada Guru, completar multitópico). Evitar solo términos técnicos sin el qué se evalúa.","Em linguagem de auditoria: o que um revisor veria no Zendesk ou no ticket para decidir se o processo foi cumprido.","Frases objetivas (p. ex. mesclar duplicados quando aplicável, status alinhado à jornada Guru, preencher multitópico). Evite só jargão técnico sem o que avaliamos."
"4","Tabla Databricks","Nombre de la tabla o vista (con schema si aplica, p. ej. schema.tabla) donde vive el dato.","Poner el identificador exacto del catálogo. Si aún no se conoce, dejar (completar) o nombre tentativo y actualizar al explorar el lake.","Nome da tabela ou view (com schema se fizer sentido, p. ex. schema.tabela) onde está o dado.","Colocar o identificador exato do catálogo. Se ainda não souber, use (completar) ou nome provisório e atualize após explorar o lake."
"5","Campo o tipo de evento","Columna(s) relevante(s) o el tipo de evento en tablas de auditoría (p. ej. custom_field_, status, via, TicketMerged).","Listar campos o el nombre del evento. Si hace falta lógica entre varias columnas, aclararlo breve en Notas y riesgos.","Coluna(s) relevante(s) ou o tipo de evento em tabelas de auditoria (p. ex. custom_field_, status, via, TicketMerged).","Listar campos ou o nome do evento. Se precisar de regra com vários campos, anote de forma curta em Notas e riscos."
"6","Grano","Nivel al que corresponde una fila de datos: ticket, comentario, evento de cambio, side conversation, etc. (¿una fila = un ticket, un mensaje, un evento?).","Escribir en lenguaje claro: 1 fila por ticket, 1 fila por cambio de campo, 1 fila por comentario público. Evita confundir métricas con el dato bruto.","Nível a que corresponde uma linha: ticket, comentário, evento de alteração, side conversation, etc. (uma linha = um ticket, uma mensagem, um evento?).","Texto claro: 1 linha por ticket, 1 linha por mudança de campo, 1 linha por comentário público. Evita confundir métricas com o dado bruto."
"7","Suficiencia","Juicio preliminar: si con ese dato alcanza para evaluar o entrenar el proceso de forma fiable. Valores sugeridos: Suficiente, Parcial, Falta dato, o por definir al inicio.","Actualizar después de validar con muestras reales o con el owner de datos. Parcial = sirve con supuestos, enriquecimiento o reglas adicionales.","Veredito preliminar: com esse dado dá para avaliar ou treinar o processo de forma confiável. Valores: Suficiente, Parcial, Falta dato, ou a definir no início.","Atualize após validar com amostra real ou com o owner de dados. Parcial = atende com suposições, enriquecimento ou regras extras."
"8","Otras fuentes","Sistemas además de Zendesk/Databricks: GitHub (issues), Slack (canales de feedback), hojas de tópicos, procedimiento en vídeo, etc.","Si el proceso no vive 100% en el lake, indicar dónde está el resto. Si no aplica, dejar vacío o N/A.","Sistemas além do Zendesk/Databricks: GitHub (issues), Slack (canais de feedback), planilhas de tópicos, procedimento em vídeo, etc.","Se o processo não vive 100% no lake, indique onde está o restante. Se não se aplica, deixe vazio ou N/A."
"9","Notas y riesgos","Macros que alteran campos, multitópico, retraso de ETL, campos no sincronizados, ambigüedad del evento, límites de la API, etc.","Anotar todo lo que pueda invalidar reglas automáticas o explicar por qué Suficiencia es Parcial.","Macros que alteram campos, multitópico, atraso de ETL, campos não sincronizados, ambiguidade do evento, limites da API, etc.","Anote tudo o que possa anular regras automáticas ou explicar Parcial em Suficiencia."
